N,Q,V
0,0.161129068821047,3.3861516
0,0.161823587572411,3.387018
0,0.162518103707784,3.387845
0,0.163212627591782,3.3888297
0,0.163907130495614,3.3896568
0,0.164601640940263,3.3904049
0,0.165296180409088,3.3912716
0,0.165990714635315,3.3920987
0,0.166685252243372,3.3928468
0,0.167379783930545,3.3936739
0,0.168074321516876,3.3945403
0,0.168768859277971,3.395328
0,0.169463395069334,3.3961158
0,0.1701579293067,3.3969429
0,0.170852467823028,3.3977306
0,0.171547013869095,3.3985183
0,0.172241551750726,3.3993847
0,0.172936095728692,3.4000938
0,0.173630629539151,3.4009209
0,0.174325177653749,3.4017873
0,0.175019739317762,3.4024961
0,0.175714294973416,3.4032445
0,0.176408839115473,3.4041109
0,0.177103389397117,3.4048593
0,0.177797933758036,3.405647
0,0.178492482879817,3.4063559
0,0.179187036740205,3.4071043
0,0.179881589101808,3.407892
0,0.180576190506202,3.4087191
0,0.181270773490728,3.4094279
0,0.181965350729133,3.4101763
0,0.182659950896818,3.4110034
0,0.183354540524309,3.4117122
0,0.184049124931106,3.4124999
0,0.184743696631003,3.4132483
0,0.185438289979663,3.4139178
0,0.186132889796668,3.4146662
0,0.186827476359948,3.4153357
0,0.187522037662743,3.4161627
0,0.188216621369315,3.4168322
0,0.188911212956356,3.4176593
0,0.189605771534161,3.4183683
0,0.190300358896544,3.4191165
0,0.190994952562739,3.4197862
0,0.191689550081617,3.420495
0,0.192384145685221,3.4212041
0,0.193078710063773,3.4218342
0,0.193773277605065,3.4226217
0,0.194467848966149,3.4233701
0,0.195162437247535,3.4240003
0,0.195857027969725,3.4248273
0,0.196551604211731,3.4255364
0,0.197246189571126,3.4262452
0,0.197940764904658,3.426836
0,0.198635356699108,3.4275451
0,0.199329937319175,3.4282146
0,0.200024522350167,3.4289234
0,0.200719109001007,3.4295142
0,0.201413699668638,3.4303019
0,0.202108292098202,3.4310503
0,0.20280287928516,3.4315622
0,0.203497460594974,3.4323106
0,0.204192035874506,3.4329801
0,0.204886621923463,3.4336102
0,0.205581181136322,3.4343586
0,0.206275744781892,3.4349494
0,0.206970332811839,3.4356582
0,0.207664910838335,3.4364066
0,0.208359487375827,3.4369185
0,0.209054062512614,3.4375486
0,0.209748629747458,3.438297
0,0.210443202771971,3.4389272
0,0.211137775818303,3.4394786
0,0.211832346489809,3.4402268
0,0.212526926015523,3.4408176
0,0.213221505114076,3.4415267
0,0.213916086598621,3.4420779
0,0.214610677747608,3.4428263
0,0.215305268032328,3.4433777
0,0.215999858754383,3.4440866
0,0.216694458024072,3.4445987
0,0.217389051657511,3.4451895
0,0.218083637191908,3.4459376
0,0.218778224805764,3.4464891
0,0.219472807166578,3.4472375
0,0.220167394233017,3.4477494
0,0.220861980664766,3.4484978
0,0.221556558942778,3.448931
0,0.222251148679809,3.4495218
0,0.222945725841361,3.4501913
0,0.223640290909136,3.4507031
0,0.224334890934558,3.4514909
0,0.225029481580132,3.4519241
0,0.225724062243924,3.4527118
0,0.226418642349413,3.4531846
0,0.227113227817866,3.4538147
0,0.22780781396514,3.4544449
0,0.228502398109495,3.4550357
0,0.229196986183141,3.4556265
0,0.229891562479985,3.4562171
0,0.230586106359015,3.4566505
0,0.231280648530731,3.4572806
0,0.231975187889726,3.4579108
0,0.232669732841585,3.4585016
0,0.233364283419189,3.4589741
0,0.234058836491445,3.4595649
0,0.234753394872148,3.4602344
0,0.235447940491892,3.4607069
0,0.236142485432917,3.4612191
0,0.236837027780083,3.4616916
0,0.237531576814134,3.4623218
0,0.238226128146159,3.4628732
0,0.23892067568072,3.463582
0,0.239615226148097,3.4640152
0,0.240309770891715,3.4645667
0,0.241004297271135,3.4649999
0,0.241698837232547,3.4655907
0,0.242393390874261,3.4661815
0,0.243087941210759,3.4666541
0,0.243782495519943,3.4672842
0,0.244477050463545,3.4676387
0,0.245171607694956,3.4683082
0,0.245866149341371,3.4687417
0,0.246560688656726,3.4692535
0,0.24725523183548,3.4696474
0,0.247949769542109,3.4702775
0,0.248644306624959,3.4707108
0,0.249338843740302,3.4713409
0,0.250033389710041,3.4717348
0,0.250727935044759,3.4722073
0,0.251422484199337,3.4727194
0,0.252117026623043,3.473192
0,0.252811567569292,3.4737041
0,0.253506111601681,3.4741373
0,0.254200656947225,3.4745705
0,0.254895199239137,3.4750431
0,0.255589738215273,3.4754369
0,0.256284277333594,3.475949
0,0.256978824539498,3.476264
0,0.257673368692059,3.4768155
0,0.258367912428775,3.47717
0,0.259062454217623,3.4776032
0,0.259756995065503,3.4780364
0,0.260451540586243,3.4784696
0,0.261146084859483,3.4788241
0,0.261840623638534,3.4791784
0,0.262535168294779,3.4795723
0,0.263229716135703,3.4799268
0,0.263924261317333,3.4803207
0,0.264618807658776,3.4806359
0,0.265313357250815,3.4811084
0,0.266007901469099,3.481384
0,0.26670244424313,3.4817386
0,0.267396992138587,3.4821324
0,0.26809153205602,3.48229
0,0.268786072465659,3.4826443
0,0.269480627288895,3.4829202
0,0.270175165586471,3.4831564
0,0.270869710067724,3.4835503
0,0.271564257295761,3.483629
0,0.272258802980762,3.4839835
0,0.272953350264248,3.4841015
0,0.273647886876195,3.4844167
0,0.274342420653907,3.4847713
0,0.27503695896225,3.4847713
