N,t,Q,V,E,T
328,29110.0013826508,2.02207245608846,3.7572229,191.4,26.090872
328,29120.0013831258,2.0227670806231,3.7573805,191.4,25.830811
328,29130.0013836008,2.02346170852849,3.7574985,191.4,25.807169
328,29140.0013840757,2.0241563358867,3.7574985,191.4,25.799288
328,29150.0013845507,2.02485096605754,3.7576954,191.4,25.83869
328,29160.0013850257,2.02554559515582,3.7578137,191.4,25.893854
328,29170.0013855007,2.02624022193401,3.7578924,191.4,25.846573
328,29180.0013859756,2.02693484560411,3.7579713,191.4,25.925379
328,29190.0013864506,2.02762946705261,3.75805,191.4,25.752005
328,29200.0013869256,2.02832408888413,3.7581286,191.4,25.775646
328,29210.0013874005,2.02901871515886,3.7582076,191.4,25.720482
328,29220.0013878755,2.02971333921198,3.7583652,191.4,25.893854
328,29230.0013883505,2.03040796626375,3.7585225,191.4,25.901737
328,29240.0013888255,2.03110259309663,3.7586014,191.4,25.807169
328,29250.0013893004,2.03179721746716,3.7585621,191.4,25.909616
328,29260.0013897754,2.03249184238489,3.758877,191.4,25.720482
328,29270.0013902504,2.0331864693163,3.7589164,191.4,25.996304
328,29280.0013907254,2.0338810963462,3.758877,191.5,25.909616
328,29290.0013912003,2.03457572311347,3.7591133,191.5,25.830811
328,29300.0013916753,2.03527034867688,3.7592316,191.5,25.885975
328,29310.0013921503,2.03596497448106,3.7593102,191.5,25.822931
328,29320.0013926253,2.03665960392954,3.7594678,191.5,25.728361
328,29330.0013931002,2.0373542279389,3.7594678,191.5,25.799288
328,29340.0013935752,2.03804884940927,3.7596254,191.5,25.649555
328,29350.0013940502,2.03874347629687,3.7597437,191.5,25.815048
328,29360.0013945252,2.03943810350185,3.7598224,191.5,25.878096
328,29370.0013950001,2.04013273175745,3.7599406,191.5,25.988422
328,29380.0013954751,2.04082735182704,3.7600586,191.5,25.744123
328,29390.0013959501,2.04152197231247,3.7601769,191.5,25.712599
328,29400.0013964251,2.04221659250243,3.7601769,191.5,25.799288
328,29410.0013969,2.04291121594272,3.7602952,191.5,25.69684
328,29420.001397375,2.0436058366689,3.7604525,191.5,25.69684
328,29430.00139785,2.0443004642022,3.7606101,191.6,25.909616
328,29440.001398325,2.04499508503783,3.7605708,191.6,25.870213
328,29450.0013987999,2.04568970522779,3.7607284,191.6,25.767763
328,29460.0013992749,2.04638433606617,3.7608464,191.6,25.649555
328,29470.0013997499,2.0470789581385,3.7610433,191.6,25.909616
328,29480.0014002249,2.04777358422724,3.761004,191.6,25.956902
328,29490.0014006998,2.04846821153078,3.7612402,191.6,25.783525
328,29500.0014011748,2.04916283387665,3.7612798,191.6,25.964781
328,29510.0014016498,2.04985745965894,3.7613978,191.6,25.610151
328,29520.0014021248,2.05055208835233,3.7615948,191.6,25.791407
328,29530.0014025997,2.05124672267087,3.7616737,191.6,25.909616
