N,t,Q,I,V,E,T
380,27700.0013156794,1.92529287674005,250.28407,3.8214059,335.8,27.355858
380,27710.0013161544,1.92598793687828,250.26437,3.8217604,335.9,27.411308
380,27720.0013166294,1.926682990394,250.26437,3.8217604,335.9,27.340015
380,27730.0013171043,1.92737804455527,250.22498,3.821918,335.9,27.522205
380,27740.0013175793,1.92807310172666,250.22498,3.8221149,335.9,27.31625
380,27750.0013180543,1.92876815673131,250.28407,3.8222723,335.9,27.332094
380,27760.0013185292,1.9294632088016,250.32347,3.8223906,335.9,27.292486
380,27770.0013190042,1.93015826460564,250.24467,3.8225482,335.9,27.308329
380,27780.0013194792,1.93085330974704,250.22498,3.8228238,335.9,27.23704
380,27790.0013199542,1.93154836244143,250.26437,3.822942,335.9,27.300407
380,27800.0013204291,1.93224342452843,250.24467,3.823139,335.9,27.205353
380,27810.0013209041,1.93293848955943,250.18555,3.8233752,335.9,27.553892
380,27820.0013213791,1.93363354973032,250.20528,3.8234539,336,27.31625
380,27830.0013218541,1.93432860792066,250.10675,3.8236508,336,27.403387
380,27840.001322329,1.93502366975615,250.26437,3.8237691,336,27.039005
380,27850.001322804,1.93571872965374,250.18555,3.8238873,336,27.229118
380,27860.001323279,1.9364137907989,250.22498,3.8240054,336,27.395466
380,27870.001323754,1.9371088550529,250.24467,3.8242023,336,27.379622
380,27880.0013242289,1.93780391953635,250.20528,3.8244386,336,27.363779
380,27890.0013247039,1.93849898474292,250.20528,3.8246751,336,27.458834
380,27900.0013251789,1.9391940459211,250.30377,3.8247538,336,27.197432
380,27910.0013256539,1.93988910425335,250.22498,3.8247931,336,27.276644
380,27920.0013261288,1.94058416141456,250.30377,3.8250294,336,27.538048
380,27930.0013266038,1.94127921857534,250.22498,3.825187,336,27.244961
380,27940.0013270788,1.94197427794664,250.24467,3.8254232,336,27.13406
380,27950.0013275538,1.94266933609272,250.24467,3.8255808,336,27.094452
380,27960.0013280287,1.94336438958628,250.18555,3.8256598,336,27.324171
380,27970.0013285037,1.94405944440442,250.20528,3.8258171,336,27.046926
380,27980.0013289787,1.94475450083177,250.20528,3.826014,336.1,27.435072
380,27990.0013294537,1.94544956013802,250.18555,3.826211,336.1,27.252882
380,28000.0013299286,1.9461446180435,250.18555,3.8264079,336.1,27.292486
380,28010.0013304036,1.94683967673723,250.28407,3.8265262,336.1,27.395466
380,28020.0013308786,1.94753473349315,250.22498,3.8266444,336.1,27.141981
380,28030.0013313536,1.94822979683865,250.20528,3.8267624,336.1,27.3717
380,28040.0013318285,1.94892485953854,250.32347,3.82692,336.1,27.332094
380,28050.0013323035,1.94961992396747,250.20528,3.8271956,336.1,27.205353
380,28060.0013327785,1.95031498858262,250.24467,3.8273532,336.1,27.332094
