# OCP for NMC from Siegel 2022 average of Pulsed current
# sto,ocp [V]
# extra point to avoid extrapolation
0.575,3.85190417
0.5775,3.849068599
0.58,3.846131243
0.5825,3.843413079
0.585,3.840726691
0.5875,3.837904192
0.59,3.835271506
0.5925,3.83269067
0.595,3.8302413
0.5975,3.827632905
0.6,3.825095882
0.6025,3.822716868
0.605,3.820203151
0.6075,3.817966773
0.61,3.815689959
0.6125,3.813537327
0.615,3.811519604
0.6175,3.809232503
0.62,3.807192644
0.6225,3.805188468
0.625,3.803177251
0.6275,3.801287426
0.63,3.799397031
0.6325,3.797443164
0.635,3.795576166
0.6375,3.793907466
0.64,3.792293326
0.6425,3.790496096
0.645,3.7887296
0.6475,3.787149137
0.65,3.78549333
0.6525,3.784063858
0.655,3.78246032
0.6575,3.780956483
0.66,3.779462347
0.6625,3.778037617
0.665,3.776581978
0.6675,3.775185783
0.67,3.773840729
0.6725,3.772313168
0.675,3.771074655
0.6775,3.769768103
0.68,3.768498698
0.6825,3.767207095
0.685,3.76583666
0.6875,3.764565124
0.69,3.763491667
0.6925,3.762094765
0.695,3.760891702
0.6975,3.759677228
0.7,3.758541865
0.7025,3.757313287
0.705,3.756112288
0.7075,3.755016642
0.71,3.753812522
0.7125,3.752597316
0.715,3.751490598
0.7175,3.750322747
0.72,3.749154636
0.7225,3.748041205
0.725,3.747006383
0.7275,3.745706154
0.73,3.744647419
0.7325,3.743354204
0.735,3.742390865
0.7375,3.741278028
0.74,3.740137186
0.7425,3.738986062
0.745,3.737884681
0.7475,3.736745722
0.75,3.735655437
0.7525,3.734442486
0.755,3.733393509
0.7575,3.73222908
0.76,3.731000454
0.7625,3.729772011
0.765,3.728466857
0.7675,3.727426674
0.77,3.726248741
0.7725,3.725020143
0.775,3.723741157
0.7775,3.722539098
0.78,3.721270879
0.7825,3.720066111
0.785,3.718752839
0.7875,3.717567859
0.79,3.716400103
0.7925,3.715093126
0.795,3.713623591
0.7975,3.712328973
0.8,3.711059041
0.8025,3.709739227
0.805,3.708364479
0.8075,3.707008845
0.81,3.705718221
0.8125,3.704256036
0.815,3.702827044
0.8175,3.701443736
0.82,3.699981403
0.8225,3.69844802
0.825,3.697145665
0.8275,3.695533247
0.83,3.694201139
0.8325,3.692628373
0.835,3.691071812
0.8375,3.689558899
0.84,3.688130013
0.8425,3.686592146
0.845,3.685055982
0.8475,3.683384053
0.85,3.681777764
0.8525,3.680324367
0.855,3.678712893
0.8575,3.677119431
0.86,3.675550125
0.8625,3.673823563
0.865,3.672167884
0.8675,3.670604541
0.87,3.668995334
0.8725,3.667393128
0.875,3.665813531
0.8775,3.664155437
0.88,3.662488056
0.8825,3.66078143
0.885,3.65918473
0.8875,3.657567057
0.89,3.655899636
0.8925,3.654258448
0.895,3.652495704
0.8975,3.650998128
0.9,3.649367149
0.9025,3.647611878
0.905,3.645906267
0.9075,3.644535216
0.91,3.642671504
0.9125,3.641041008
0.915,3.639404861
0.9175,3.637649755
0.92,3.635972107
0.9225,3.6343858
0.925,3.632676391
0.9275,3.630985839
0.93,3.629273162
0.9325,3.627583099
0.935,3.625899344
0.9375,3.624144303
0.94,3.622518449
0.9425,3.620652922
0.945,3.618907621
0.9475,3.617103613
0.95,3.615335459
0.9525,3.613384067
0.955,3.611453431
0.9575,3.609534777
0.96,3.607590192
0.9625,3.605391157
0.965,3.60326393
0.9675,3.600970366
0.97,3.598600894
0.9725,3.595999114
0.975,3.593326664
0.9775,3.590446115
0.98,3.587150847
0.9825,3.583744396
0.985,3.579812826
0.9875,3.575239498
0.99,3.569597811
0.9925,3.561163779
0.995,3.540476437
1,2
