# ESC Time [s],Cell Temperature [K]
43.6,371.8885773
43.7,372.0716778
43.8,372.196966
43.9,372.3222614
44,372.4475641
44.1,372.6017927
44.2,372.7560324
44.3,372.9006421
44.4,373.0066955
44.5,373.1609644
44.6,373.2863162
44.7,373.4213187
44.8,373.5659738
44.9,373.6624161
45,373.7974428
45.1,373.9324781
45.2,374.057876
45.3,374.1736346
45.4,374.2893996
45.5,374.424467
45.6,374.5691919
45.7,374.7139271
45.8,374.8586724
45.9,374.9937774
46,375.1385426
46.1,375.2543623
46.2,375.3991462
46.3,375.5342872
46.4,375.6597834
46.5,375.7852874
46.6,375.9204545
46.7,376.0459749
46.8,376.190816
46.9,376.2970395
47,376.4708721
47.1,376.5674524
47.2,376.7316497
47.3,376.8282428
47.4,376.9731414
47.5,377.0890679
47.6,377.19534
47.7,377.35959
47.8,377.4562142
47.9,377.5818328
48,377.6784681
48.1,377.8041011
48.2,377.9587376
48.3,378.0650575
48.4,378.1713832
48.5,378.2873816
48.6,378.422722
48.7,378.5387357
48.8,378.6740939
48.9,378.7804536
49,378.8674795
49.1,379.0222022
49.2,379.1285814
49.3,379.2736536
49.4,379.418737
49.5,379.5154655
49.6,379.6992633
49.7,379.8250302
49.8,379.9604808
49.9,380.0959413
50,380.2410885
50.1,380.347537
50.2,380.4927038
50.3,380.5604522
50.4,380.6959565
50.5,380.7927514
50.6,380.8798711
50.7,380.9766756
50.8,381.0831665
50.9,381.1606183
51,381.2574376
51.1,381.3252141
51.2,381.3929932
51.3,381.4995082
51.4,381.5479262
51.5,381.644766
51.6,381.7416109
51.7,381.7803503
51.8,381.8190905
51.9,381.9353162
52,382.0224903
52.1,382.0612357
52.2,382.1290421
52.3,382.2162255
52.4,382.2743501
52.5,382.3518525
52.6,382.3809167
52.7,382.4293582
52.8,382.516556
52.9,382.5746903
53,382.6231369
53.1,382.6812746
53.2,382.7684846
53.3,382.807246
53.4,382.8750804
53.5,382.9429173
53.6,382.9913738
53.7,383.0398317
53.8,383.0979828
53.9,383.1270591
54,383.1658281
54.1,383.2142907
54.2,383.2336761
54.3,383.2627545
54.4,383.3015265
54.5,383.3306061
54.6,383.3499928
54.7,383.3887667
54.8,383.4178476
54.9,383.456623
55,383.466317
55.1,383.466317
55.2,383.5147877
55.3,383.5341763
55.4,383.5438707
55.5,383.5632596
55.6,383.5923434
55.7,383.5729542
55.8,383.5729542
55.9,383.6117329
56,383.5826488
56.1,383.6020382
56.2,383.6117329
56.3,383.6214277
56.4,383.6311226
56.5,383.6311226
56.6,383.6311226
56.7,383.6602075
56.8,383.6505125
56.9,383.6795977
57,383.6408175
57.1,383.6699026
57.2,383.6602075
57.3,383.6699026
57.4,383.6602075
57.5,383.6795977
57.6,383.6699026
57.7,383.6408175
57.8,383.6699026
57.9,383.6408175
58,383.6505125
58.1,383.6602075
58.2,383.6505125
58.3,383.6408175
58.4,383.6311226
58.5,383.6214277
58.6,383.6311226
58.7,383.6214277
